"","t","contrast","estimate","std.error","conf.low","conf.high"
"1",1,"shift v. obs",-0.00223963502613991,0.00730655175871746,-0.0165602133244039,0.0120809432721241
"2",2,"shift v. obs",-0.0100520977960038,0.0102447008236188,-0.0301313424426844,0.0100271468506768
"3",3,"shift v. obs",-0.0386443754043699,0.0166969921123098,-0.0713698785946464,-0.00591887221409342
"4",4,"shift v. obs",-0.0555490974070707,0.0219338650036002,-0.0985386828558905,-0.0125595119582509
"5",5,"shift v. obs",-0.0677117817822113,0.0275327187842878,-0.121674918995885,-0.0137486445685378
