"","t","contrast","estimate","std.error","conf.low","conf.high"
"1",1,"shift v. obs",-0.000732525371033729,0.00444817601625428,-0.00945079015978697,0.00798573941771951
"2",2,"shift v. obs",0.00239061788491457,0.005741513284103,-0.00886254136868559,0.0136437771385147
"3",3,"shift v. obs",0.00369366347411415,0.00976698907134136,-0.0154492833431112,0.0228366102913395
"4",4,"shift v. obs",0.00232367744616413,0.0121658566792931,-0.0215209634863264,0.0261683183786547
"5",5,"shift v. obs",-0.013889821802514,0.012505912926583,-0.0384009607324106,0.0106213171273827
