"","t","shift","estimate","std.error","conf.low","conf.high"
"1",1,"mult",0.0869401031775543,0.0146344165568831,0.0582571737913067,0.115623032563802
"2",1,"obs",0.0973571902986673,0.0149695261547236,0.0680174581697787,0.126696922427556
"3",2,"mult",0.161551071375916,0.0208247886536582,0.120735235629087,0.202366907122744
"4",2,"obs",0.161973386695954,0.0189505705889903,0.124830950855049,0.199115822536859
"5",3,"mult",0.267576090764901,0.0278470975768556,0.212996782440292,0.322155399089511
"6",3,"obs",0.296779468490697,0.0245753978779476,0.248612573744178,0.344946363237216
"7",4,"mult",0.354888589230989,0.034046126039028,0.288159408381383,0.421617770080595
"8",4,"obs",0.388851170709897,0.0271877121537177,0.335564234066568,0.442138107353225
"9",5,"mult",0.398973807915491,0.0381791834425614,0.324143983408923,0.473803632422059
"10",5,"obs",0.449578458954838,0.0282308238693421,0.394247060917034,0.504909856992642
