"","t","contrast","estimate","std.error","conf.low","conf.high"
"1",1,"shift v. obs",-0.00228565172328245,0.00735477737229559,-0.0167007504872919,0.012129447040727
"2",2,"shift v. obs",-0.00225309747598179,0.0110988495146748,-0.0240064427945742,0.0195002478426106
"3",3,"shift v. obs",-0.0366175230223336,0.0197412773146568,-0.0753097155678785,0.00207466952321138
"4",4,"shift v. obs",-0.054011829458032,0.0276058717681894,-0.108118343885514,9.46849694502469e-05
"5",5,"shift v. obs",-0.0732467189575025,0.0317862962270621,-0.135546714764466,-0.0109467231505393
