"","t","contrast","estimate","std.error","conf.low","conf.high"
"1",1,"shift v. obs",-0.000557750021100548,0.00548784517978786,-0.0113137289262165,0.0101982288840154
"2",2,"shift v. obs",0.00221664171639091,0.00723380884276882,-0.0119613630864833,0.0163946465192652
"3",3,"shift v. obs",0.000610846710849433,0.0141340727844197,-0.0270914269014808,0.0283131203231797
"4",4,"shift v. obs",-0.00666030352963565,0.0196072333343123,-0.045089774701361,0.0317691676420897
"5",5,"shift v. obs",-0.0119581728540695,0.0233288161203151,-0.0576818122518444,0.0337654665437054
